years,window_start,actual_start,actual_end,allocation,weekly_budget,contributed,final_value,profit,roi,worst_interim_loss,terminal_tqqq_market_weight,maximum_tqqq_market_weight
5,1999-09-01,1999-09-01,2004-09-01,50_TQQQ_50_QQQ,100.0,26200.0,19930.090664941497,-6269.909335058503,-0.23930951660528632,-0.7402503576792564,0.42362243523934356,0.6722094986286368
5,1999-09-01,1999-09-01,2004-09-01,50_50_monthly_rebalance,100.0,26200.0,18682.403424160784,-7517.596575839216,-0.2869311670167639,-0.8185676703904807,0.49999999999998956,0.6014708521483726
5,1999-09-01,1999-09-01,2004-09-01,50_TQQQ_50_cash,100.0,26200.0,21542.833542023425,-4657.166457976575,-0.17775444496093795,-0.4656945309896241,0.39190914814219124,0.7544819209706275
5,1999-09-01,1999-09-01,2004-09-01,30_TQQQ_70_cash,100.0,26200.0,23405.700125214054,-2794.2998747859456,-0.10665266697656284,-0.2794167185937745,0.2164301900013225,0.5684090049672268
5,1999-10-01,1999-10-01,2004-10-01,100_QQQ,100.0,26200.0,24401.746882976666,-1798.2531170233342,-0.06863561515356242,-0.5670888069847294,0.0,0.0
5,1999-10-01,1999-10-01,2004-10-01,100_QLD,100.0,26200.0,21418.519009557323,-4781.480990442677,-0.18249927444437697,-0.8285772423828043,0.0,0.0
5,1999-10-01,1999-10-01,2004-10-01,100_TQQQ,100.0,26200.0,19970.437301477785,-6229.562698522215,-0.23776956864588605,-0.9295420185078979,1.0,1.0
5,1999-10-01,1999-10-01,2004-10-01,50_TQQQ_only,50.0,13100.0,9985.218650738892,-3114.7813492611076,-0.23776956864588605,-0.9295420185078979,1.0,1.0
5,1999-10-01,1999-10-01,2004-10-01,50_TQQQ_50_QQQ,100.0,26200.0,22186.092092227227,-4013.907907772773,-0.15320259189972418,-0.7383787886823451,0.45006658266947147,0.6592216213981624
5,1999-10-01,1999-10-01,2004-10-01,50_50_monthly_rebalance,100.0,26200.0,21035.446540580037,-5164.5534594199635,-0.1971203610465635,-0.8185241666350873,0.4999999999999901,0.6013628648861666
5,1999-10-01,1999-10-01,2004-10-01,50_TQQQ_50_cash,100.0,26200.0,23085.21865073889,-3114.7813492611094,-0.11888478432294314,-0.464771009253949,0.43253732190313454,0.7359934029783695
5,1999-10-01,1999-10-01,2004-10-01,30_TQQQ_70_cash,100.0,26200.0,24331.131190443335,-1868.868809556665,-0.07133087059376586,-0.2788626055523694,0.24623315470003723,0.5443702771314437
5,1999-11-01,1999-11-01,2004-11-01,100_QQQ,100.0,26200.0,25211.62083390773,-988.3791660922689,-0.03772439565237662,-0.5641333925352788,0.0,0.0
5,1999-11-01,1999-11-01,2004-11-01,100_QLD,100.0,26200.0,22834.015718905834,-3365.9842810941664,-0.12847268248451016,-0.8287592706428253,0.0,0.0
5,1999-11-01,1999-11-01,2004-11-01,100_TQQQ,100.0,26200.0,21746.776252266827,-4453.223747733173,-0.1699703720508845,-0.927116936824336,1.0,1.0
5,1999-11-01,1999-11-01,2004-11-01,50_TQQQ_only,50.0,13100.0,10873.388126133414,-2226.6118738665864,-0.1699703720508845,-0.927116936824336,1.0,1.0
5,1999-11-01,1999-11-01,2004-11-01,50_TQQQ_50_QQQ,100.0,26200.0,23479.19854308728,-2720.801456912719,-0.1038473838516305,-0.7406154869973287,0.4631072950032506,0.6196801560222335
5,1999-11-01,1999-11-01,2004-11-01,50_50_monthly_rebalance,100.0,26200.0,22412.378779157578,-3787.621220842422,-0.14456569545200082,-0.8189630399420066,0.4999999999999948,0.6012162307754814
5,1999-11-01,1999-11-01,2004-11-01,50_TQQQ_50_cash,100.0,26200.0,23973.388126133414,-2226.6118738665864,-0.08498518602544225,-0.46355846841216797,0.4535607594939959,0.6841911110054898
5,1999-11-01,1999-11-01,2004-11-01,30_TQQQ_70_cash,100.0,26200.0,24864.032875680048,-1335.9671243199518,-0.05099111161526537,-0.2781350810473009,0.26238836267230486,0.48145904819598523
