date,equity,cash,cost,QQQ,QLD,TQQQ
2018-02-01,17686.48053331266,2.510205376893282e-10,2.1827872842550278e-14,0.0,0.0,0.9999999999999858
2018-02-02,16606.16300071935,2.510205376893282e-10,0.0,0.0,0.0,0.9999999999999849
2018-02-05,14689.239926720435,2.510205376893282e-10,0.0,0.0,0.0,0.9999999999999829
2018-02-06,15821.783305866205,2.510205376893282e-10,0.0,0.0,0.0,0.9999999999999841
2018-02-07,15196.11690014555,2.510205376893282e-10,0.0,0.0,0.0,0.9999999999999835
2018-02-08,13312.984556386953,2.510205376893282e-10,0.0,0.0,0.0,0.9999999999999811
2018-02-09,13939.673766020649,2.510205376893282e-10,0.0,0.0,0.0,0.999999999999982
2018-02-12,14719.95854834002,2.510205376893282e-10,0.0,0.0,0.0,0.9999999999999829
2018-02-13,14899.15625849234,2.510205376893282e-10,0.0,0.0,0.0,0.9999999999999831
2018-02-14,15771.601834845955,2.510205376893282e-10,0.0,0.0,0.0,0.9999999999999841
2018-02-15,16595.92510323798,2.510205376893282e-10,0.0,0.0,0.0,0.9999999999999849
2018-02-16,16410.578246668712,2.510205376893282e-10,0.0,0.0,0.0,0.9999999999999847
2018-02-20,16492.498678633845,2.510205376893282e-10,0.0,0.0,0.0,0.9999999999999848
2018-02-21,16344.019590101112,2.510205376893282e-10,0.0,0.0,0.0,0.9999999999999847
2018-02-22,16347.091698721846,2.510205376893282e-10,0.0,0.0,0.0,0.9999999999999847
2018-02-23,17320.91069809029,2.510205376893282e-10,0.0,0.0,0.0,0.9999999999999855
2018-02-26,18016.205404411536,2.510205376893282e-10,0.0,0.0,0.0,0.9999999999999861
2018-02-27,17371.088472228927,2.510205376893282e-10,0.0,0.0,0.0,0.9999999999999856
2018-02-28,17021.904448611,2.510205376893282e-10,0.0,0.0,0.0,0.9999999999999852
2018-03-01,16202.708755016756,2.4010660126805305e-10,5.4569682106375695e-15,0.0,0.0,0.9999999999999852
2018-03-02,16648.147252908828,2.4010660126805305e-10,0.0,0.0,0.0,0.9999999999999856
2018-03-05,17170.386001731476,2.4010660126805305e-10,0.0,0.0,0.0,0.999999999999986
2018-03-06,17387.47181924563,2.4010660126805305e-10,0.0,0.0,0.0,0.9999999999999862
2018-03-07,17517.52072064171,2.4010660126805305e-10,0.0,0.0,0.0,0.9999999999999863
2018-03-08,17778.640095053037,2.4010660126805305e-10,0.0,0.0,0.0,0.9999999999999865
2018-03-09,18813.902499130007,2.4010660126805305e-10,0.0,0.0,0.0,0.9999999999999872
2018-03-12,19095.49890079794,2.4010660126805305e-10,0.0,0.0,0.0,0.9999999999999875
2018-03-13,18402.253499184386,2.4010660126805305e-10,0.0,0.0,0.0,0.9999999999999869
2018-03-14,18339.78975515056,2.4010660126805305e-10,0.0,0.0,0.0,0.9999999999999869
2018-03-15,18257.870555479298,2.4010660126805305e-10,0.0,0.0,0.0,0.9999999999999869
2018-03-16,18137.035515357675,2.4010660126805305e-10,0.0,0.0,0.0,0.9999999999999868
2018-03-19,16998.354080439793,2.4010660126805305e-10,0.0,0.0,0.0,0.9999999999999859
2018-03-20,17123.282800801317,2.4010660126805305e-10,0.0,0.0,0.0,0.999999999999986
2018-03-21,16875.47343249209,2.4010660126805305e-10,0.0,0.0,0.0,0.9999999999999858
2018-03-22,15642.576969656788,2.4010660126805305e-10,0.0,0.0,0.0,0.9999999999999847
2018-03-23,14378.966814377383,2.4010660126805305e-10,0.0,0.0,0.0,0.9999999999999833
2018-03-26,15996.886103484752,2.4010660126805305e-10,0.0,0.0,0.0,0.999999999999985
2018-03-27,14462.93655105021,2.4010660126805305e-10,0.0,0.0,0.0,0.9999999999999833
2018-03-28,13964.246938104898,2.4010660126805305e-10,0.0,0.0,0.0,0.9999999999999828
2018-03-29,14737.367163857507,2.4010660126805305e-10,0.0,0.0,0.0,0.9999999999999837
2018-04-02,13428.699415474017,2.0554580260068178e-10,1.7280399333685636e-14,0.0,0.0,0.9999999999999847
2018-04-03,13879.259326694515,2.0554580260068178e-10,0.0,0.0,0.0,0.9999999999999852
2018-04-04,14535.638192565404,2.0554580260068178e-10,0.0,0.0,0.0,0.9999999999999859
2018-04-05,14763.992105237194,2.0554580260068178e-10,0.0,0.0,0.0,0.9999999999999861
2018-04-06,13662.17227688649,2.0554580260068178e-10,0.0,0.0,0.0,0.9999999999999849
2018-04-09,13935.581318074617,2.0554580260068178e-10,0.0,0.0,0.0,0.9999999999999852
2018-04-10,14856.151666977566,2.0554580260068178e-10,0.0,0.0,0.0,0.9999999999999861
2018-04-11,14606.29669084226,2.0554580260068178e-10,0.0,0.0,0.0,0.9999999999999859
2018-04-12,15118.297542183545,2.0554580260068178e-10,0.0,0.0,0.0,0.9999999999999865
2018-04-13,14894.041006633272,2.0554580260068178e-10,0.0,0.0,0.0,0.9999999999999862
2018-04-16,15222.743073819107,2.0554580260068178e-10,0.0,0.0,0.0,0.9999999999999865
2018-04-17,16196.565770069168,2.0554580260068178e-10,0.0,0.0,0.0,0.9999999999999873
