window_start,symbol,contributed,final_value,profit,xirr,trades,exposure,start,end,profit_on_contributed,twr_cagr,max_drawdown,drawdown_peak,drawdown_trough,drawdown_recovered,sharpe_0rf,volatility,worst_loss_on_contributed,worst_loss_date,worst_loss_deposited,worst_loss_value,lump_sum_return
2012-01-01,TQQQ,26100.0,65956.06360961549,39856.06360961549,0.38669278601375623,261.0,1.0,2012-01-03,2016-12-30,1.5270522455791375,0.47976766857890407,-0.44538606066994546,2015-07-20,2016-02-09,2016-09-22,1.0938944277600644,0.4523777815676324,-0.13463039984653982,2012-06-01,2200.0,1903.8131203376124,6.085582729756612
2012-02-01,QQQ,26200.0,38887.836204433814,12687.836204433814,0.1599613013899569,262.0,1.0,2012-02-01,2017-02-01,0.48426855742113795,0.16882851446240976,-0.16105910004230106,2015-12-01,2016-02-09,2016-07-27,1.106754780871783,0.1515510524430628,-0.06232021496164356,2012-06-01,1800.0,1687.8236130690416,1.1874439733075879
2012-02-01,QLD,26200.0,54490.2406732745,28290.2406732745,0.3014584952220517,262.0,1.0,2012-02-01,2017-02-01,1.0797801783692558,0.3200510524830631,-0.3073772757976019,2015-11-04,2016-02-09,2016-08-05,1.074130553407378,0.30131163477753997,-0.12573134547942422,2012-06-01,1800.0,1573.6835781370364,3.019708506337934
2012-02-01,TQQQ,26200.0,75194.12735191992,48994.12735191992,0.4419814817254716,262.0,1.0,2012-02-01,2017-02-01,1.8700048607603021,0.46818872798868405,-0.4453868686184642,2015-07-20,2016-02-09,2016-09-22,1.0785374251342679,0.45177501628181216,-0.18631870050125662,2012-06-01,1800.0,1464.626339097738,5.8423752434295055
2012-03-01,QQQ,26200.0,40260.735445678525,14060.735445678525,0.17428203316248647,262.0,1.0,2012-03-01,2017-03-01,0.5366692918197911,0.1658227107024055,-0.16105951286876252,2015-12-01,2016-02-09,2016-07-27,1.0920376968499648,0.15122037061235608,-0.07533855188874915,2012-05-18,1200.0,1109.593737733501,1.1585847488000756
2012-03-01,QLD,26200.0,58459.20781691459,32259.20781691459,0.33164529350434224,262.0,1.0,2012-03-01,2017-03-01,1.2312674739280378,0.3128941885140242,-0.307377731910632,2015-11-04,2016-02-09,2016-08-05,1.0579593858543084,0.30064168557495846,-0.14758481878347765,2012-05-18,1200.0,1022.8982174598268,2.909111391378943
2012-03-01,TQQQ,26200.0,83830.33067820864,57630.330678208644,0.4908135100734402,262.0,1.0,2012-03-01,2017-03-01,2.1996309419163604,0.4569441176753959,-0.44538759473511036,2015-07-20,2016-02-09,2016-09-22,1.0630610995428218,0.4507640222824879,-0.21669375484180545,2012-05-18,1200.0,939.9674941898335,5.5778424985433634
2012-04-01,QQQ,26100.0,39966.56138527549,13866.56138527549,0.1731832299250028,261.0,1.0,2012-04-02,2017-03-31,0.5312858768304786,0.1577959739266821,-0.16106002946516618,2015-12-01,2016-02-09,2016-07-27,1.0477702552707178,0.15078637860032015,-0.07652419845630529,2012-05-18,700.0,646.4330610805863,1.0836434239864148
2012-04-01,QLD,26100.0,57913.21793368847,31813.217933688473,0.33001876174887645,261.0,1.0,2012-04-02,2017-03-31,1.2188972388386388,0.2949262282423295,-0.30737827844136645,2015-11-04,2016-02-09,2016-08-05,1.013145780630205,0.2997698306951087,-0.14854942839291604,2012-05-18,700.0,596.0154001249588,2.6437713168524657
2012-04-01,TQQQ,26100.0,82986.94615020129,56886.946150201285,0.4892369973682461,261.0,1.0,2012-04-02,2017-03-31,2.179576480850624,0.42683049840995335,-0.4453884277675074,2015-07-20,2016-02-09,2016-09-22,1.0174448067599369,0.44942565729311923,-0.21682252292263082,2012-05-18,700.0,548.2242339541584,4.9142985220900055
