date,synthetic_nav,deposit,deposited,equity,profit,profit_on_deposited,initial_dollar_value,nav_drawdown
2020-03-30,454.70991702653276,100.0,104500.0,413839.27670360653,309339.27670360653,2.9601844660632204,1.870092615516273,-0.1876548838067723
2020-03-31,450.414934726134,0.0,104500.0,409930.33981418284,305430.33981418284,2.922778371427587,1.8524285743704976,-0.19532792493743611
2020-04-01,431.54991358480777,0.0,104500.0,392760.9612460239,288260.9612460239,2.7584780980480756,1.7748421057078976,-0.2290305278875805
2020-04-02,440.26336447352065,0.0,104500.0,400691.2220086606,296191.2220086606,2.834365760848427,1.810678051994714,-0.21346383578435457
2020-04-03,434.0601294658094,0.0,104500.0,395045.55167536123,290545.55167536123,2.7803402074197248,1.7851659099765844,-0.22454599492455007
2020-04-06,465.9694719527168,100.0,104600.0,424186.74034590676,319586.74034590676,3.0553225654484395,1.916399963856397,-0.16753954408731497
2020-04-07,464.1017017791622,0.0,104600.0,422486.4501137694,317886.4501137694,3.0390674007052523,1.9087183561362775,-0.17087633952951753
2020-04-08,474.49095355625997,0.0,104600.0,431944.11442703835,327344.11442703835,3.129484841558684,1.9514463950498344,-0.15231580758155316
2020-04-09,475.01453644401306,0.0,104600.0,432420.74848103797,327820.74848103797,3.1340415724764625,1.9535997426134868,-0.15138042001716945
2020-04-13,480.4360281655458,100.0,104700.0,437456.0538020107,332756.0538020107,3.1781858051767973,1.9758967967437784,-0.14169485531414117
2020-04-14,501.17366080731676,0.0,104700.0,456338.49060697696,351638.49060697696,3.358533816685549,2.061184784127617,-0.10464680782902558
2020-04-15,495.3940010671621,0.0,104700.0,451075.8812396062,346375.8812396062,3.3082701169016824,2.0374146867632588,-0.11497224430482456
2020-04-16,504.95495392243856,0.0,104700.0,459781.50792340504,355081.50792340504,3.391418413786104,2.076736167695262,-0.0978914790359986
2020-04-17,509.2527147805163,0.0,104700.0,463694.7895986744,358994.7895986744,3.4287945520408254,2.0944116362588323,-0.09021347397629775
2020-04-20,503.13824222355333,100.0,104800.0,458227.26991065353,353427.26991065353,3.372397613651274,2.0692645489656245,-0.10113705785638394
2020-04-21,484.483250571746,0.0,104800.0,441237.45443362684,336437.45443362684,3.210281053755981,1.9925418718824088,-0.1344644404216665
2020-04-22,499.5652501006317,0.0,104800.0,454973.20912079373,350173.20912079373,3.3413474152747495,2.0545698481593,-0.10752025424724454
2020-04-23,498.2285601530556,0.0,104800.0,453755.8343836083,348955.8343836083,3.3297312441184,2.049072422423474,-0.10990826803387743
2020-04-24,506.59794837709364,0.0,104800.0,461378.15682877705,356578.15682877705,3.4024633285188646,2.0834933367868818,-0.09495624830714311
2020-04-27,509.54164060130154,100.0,104900.0,464159.04012052406,359259.04012052406,3.4247763595855485,2.095599906018629,-0.08969730428069966
2020-04-28,500.31052811810656,0.0,104900.0,455750.1016392881,350850.1016392881,3.3446148869331562,2.0576349647639702,-0.10618880548170873
2020-04-29,517.9019947246807,0.0,104900.0,471774.7748039465,366874.7748039465,3.497376308903208,2.129983665694405,-0.07476142409100794
2020-04-30,518.9399969940466,0.0,104900.0,472720.32684248703,367820.32684248703,3.506390151024662,2.134252673926124,-0.07290701968384017
2020-05-01,502.70678157722625,0.0,104900.0,457932.93149428867,353032.93149428867,3.365423560479396,2.0674900739907693,-0.10190786785139216
2020-05-04,509.3833245429966,100.0,105000.0,464114.7745921531,359114.7745921531,3.4201407104014576,2.0949487970797924,-0.08998013795545212
2020-05-05,514.9455781183646,0.0,105000.0,469182.7144715599,364182.7144715599,3.468406804491047,2.1178247646965653,-0.08004310038977525
2020-05-06,518.1509578850214,0.0,105000.0,472103.23431625427,367103.23431625427,3.4962212792024214,2.131007580393107,-0.07431664820237693
2020-05-07,524.9269567719457,0.0,105000.0,478277.0547860606,373277.0547860606,3.555019569391053,2.158875337410696,-0.06221123902388637
2020-05-08,531.9180819100877,0.0,105000.0,484646.8833833068,379646.8833833068,3.615684603650541,2.1876278475395363,-0.0497215040301936
2020-05-11,536.4483485493752,100.0,105100.0,488874.49832944496,383774.49832944496,3.6515175863886293,2.2062595462802457,-0.04162812440138841
