scenario,years,window_start,leverage,index_log_growth,index_volatility,index_last_two_year_return,actual_start,actual_end,contributed,final_value,profit,roi,worst_loss_on_deposits,lump_return,max_nav_drawdown
higher_financing,10,2010-02-01,1,0.17459346684571514,0.17261489504818422,0.3219995841911505,2010-02-01,2020-01-31,52200.0,138958.974048918,86758.974048918,1.662049311281954,-0.08407777038373965,4.611177347774589,-0.2277025696857189
higher_financing,10,2010-02-01,2,0.17459346684571514,0.17261489504818422,0.3219995841911505,2010-02-01,2020-01-31,52200.0,299982.0872463996,247782.0872463996,4.746783280582368,-0.17424423899255437,16.85569158406881,-0.4257250978961743
higher_financing,10,2010-02-01,3,0.17459346684571514,0.17261489504818422,0.3219995841911505,2010-02-01,2020-01-31,52200.0,597156.7313145627,544956.7313145627,10.439784124800052,-0.2628547142875681,44.237110028741036,-0.5826309094576784
higher_financing,10,2010-03-01,1,0.16376689575456235,0.1738607892235227,0.2609639723112698,2010-03-01,2020-02-28,52200.0,129181.76412766626,76981.76412766626,1.474746439227323,-0.09691086402808768,4.035617081997412,-0.2277025696857189
higher_financing,10,2010-03-01,2,0.16376689575456235,0.1738607892235227,0.2609639723112698,2010-03-01,2020-02-28,52200.0,257879.0968482985,205679.0968482985,3.9402125833007373,-0.1956968602521727,13.299052063045318,-0.4257250978961743
higher_financing,10,2010-03-01,3,0.16376689575456235,0.1738607892235227,0.2609639723112698,2010-03-01,2020-02-28,52200.0,472540.06401287497,420340.06401287497,8.052491647756225,-0.28994312829451596,31.16560634453743,-0.5826309094576784
higher_financing,10,2010-04-01,1,0.145558900002459,0.19321402551061742,0.19703049704026432,2010-04-01,2020-04-01,52300.0,113133.6540595286,60833.654059528606,1.163167381635346,-0.09888169169125038,3.2009494264443603,-0.2798076143902245
higher_financing,10,2010-04-01,2,0.145558900002459,0.19321402551061742,0.19703049704026432,2010-04-01,2020-04-01,52300.0,183545.12847085268,131245.12847085268,2.509467083572709,-0.1967741978880141,8.228766750584434,-0.5165595429712524
higher_financing,10,2010-04-01,3,0.145558900002459,0.19321402551061742,0.19703049704026432,2010-04-01,2020-04-01,52300.0,252324.52690771493,200024.52690771493,3.8245607439333638,-0.28885409647278537,13.786435858337562,-0.6992954440615236
higher_financing,10,2010-05-01,1,0.1572721537017608,0.19636509172542196,0.3333534999888206,2010-05-03,2020-05-01,52200.0,129800.15737935438,77600.15737935438,1.4865930532443365,-0.0899466412596297,3.719073414514482,-0.2798076143902245
higher_financing,10,2010-05-01,2,0.1572721537017608,0.19636509172542196,0.3333534999888206,2010-05-03,2020-05-01,52200.0,239770.63331030417,187570.63331030417,3.5933071515383936,-0.17389948362355623,10.515023361549604,-0.5165595429712524
higher_financing,10,2010-05-01,3,0.1572721537017608,0.19636509172542196,0.3333534999888206,2010-05-03,2020-05-01,52200.0,371965.50032547594,319765.50032547594,6.125775868304137,-0.2522642612317365,19.270980345581144,-0.6992954440615236
higher_financing,10,2010-06-01,1,0.17699341887959893,0.19450198284604808,0.38393184407350534,2010-06-01,2020-06-01,52300.0,141388.0062701392,89088.00627013919,1.7034035615705387,-0.06184034548527395,4.752920201730939,-0.2798076143902245
higher_financing,10,2010-06-01,2,0.17699341887959893,0.19450198284604808,0.38393184407350534,2010-06-01,2020-06-01,52300.0,284282.5274511259,231982.5274511259,4.435612379562637,-0.12324023526711803,16.233855190245954,-0.5165595429712524
higher_financing,10,2010-06-01,3,0.17699341887959893,0.19450198284604808,0.38393184407350534,2010-06-01,2020-06-01,52300.0,480342.584266097,428042.584266097,8.18437063606304,-0.18888120491804017,36.51286814062627,-0.6992954440615236
higher_financing,10,2010-07-01,1,0.18950136581095403,0.19437096504553728,0.4793670792262654,2010-07-01,2020-07-01,52300.0,149486.54598978406,97186.54598978406,1.858251357357248,-0.047454911511108255,5.519568770477638,-0.2798076143902245
higher_financing,10,2010-07-01,2,0.18950136581095403,0.19437096504553728,0.4793670792262654,2010-07-01,2020-07-01,52300.0,316681.8035269501,264381.8035269501,5.055101405869027,-0.12274470294936513,21.139500953306197,-0.5165595429712524
higher_financing,10,2010-07-01,3,0.18950136581095403,0.19437096504553728,0.4793670792262654,2010-07-01,2020-07-01,52300.0,561667.9131960596,509367.91319605964,9.739348244666532,-0.20730780688104822,53.63051869665599,-0.6992954440615236
higher_financing,10,2010-08-01,1,0.18644947284005348,0.19455074677320985,0.5404029080737949,2010-08-02,2020-07-31,52200.0,155692.7202147731,103492.72021477309,1.9826191612025497,-0.06462963608790029,5.31719010422357,-0.2798076143902245
higher_financing,10,2010-08-01,2,0.18644947284005348,0.19455074677320985,0.5404029080737949,2010-08-02,2020-07-31,52200.0,343255.2574450259,291055.2574450259,5.575771215421952,-0.15385365648927474,19.77649596518306,-0.5165595429712524
higher_financing,10,2010-08-01,3,0.18644947284005348,0.19455074677320985,0.5404029080737949,2010-08-02,2020-07-31,52200.0,631838.7000976015,579638.7000976015,11.104189657042175,-0.24956036008112925,48.61585688384045,-0.6992954440615236
higher_financing,10,2010-09-01,1,0.20255917274592888,0.19438041484970056,0.6464198755368205,2010-09-01,2020-09-01,52300.0,173252.38839797274,120952.38839797274,2.312665170133322,-0.07838011862872485,6.429126475287524,-0.2798076143902245
higher_financing,10,2010-09-01,2,0.20255917274592888,0.19438041484970056,0.6464198755368205,2010-09-01,2020-09-01,52300.0,424214.4813364779,371914.4813364779,7.11117555136669,-0.17849179702711215,27.747483919331188,-0.5165595429712524
