scenario,start_label,years,leverage,actual_start,actual_end,contributed,final_value,profit,roi,worst_loss_on_deposits,lump_return,max_nav_drawdown
ideal_no_cost,2002_trough,5,2,2002-10-07,2007-10-05,26100.0,54859.392900891486,28759.392900891486,1.1018924483100188,-0.11163884493474241,5.03471267398777,-0.32511001764419467
ideal_no_cost,2002_trough,5,3,2002-10-07,2007-10-05,26100.0,72821.51774208483,46721.517742084834,1.7900964652139781,-0.18212187519795864,9.96068483088282,-0.45761482912677576
ideal_no_cost,2002_trough,10,1,2002-10-07,2012-10-05,52200.0,92618.62399299766,40418.62399299766,0.7743031416283077,-0.30633627677256947,2.6980802674526974,-0.534198516078733
ideal_no_cost,2002_trough,10,2,2002-10-07,2012-10-05,52200.0,125457.94800850302,73257.94800850302,1.4034089656801347,-0.6016607240382917,6.653912729286353,-0.8222526301927102
ideal_no_cost,2002_trough,10,3,2002-10-07,2012-10-05,52200.0,130209.78749728392,78009.78749728392,1.4944403735111864,-0.8146005992076908,7.807152068390815,-0.946395253054364
ideal_no_cost,2007_year_start,5,1,2007-01-03,2012-01-03,26200.0,34356.53351897576,8156.533518975761,0.3113180732433496,-0.4308927680314464,0.36502656359568486,-0.534198516078733
ideal_no_cost,2007_year_start,5,2,2007-01-03,2012-01-03,26200.0,39544.42221137403,13344.422211374032,0.5093290920371769,-0.7117341320010524,0.2726957307028832,-0.8222526301927102
ideal_no_cost,2007_year_start,5,3,2007-01-03,2012-01-03,26200.0,41414.01586876407,15214.015868764072,0.5806876285787814,-0.8660282958871588,-0.19578196184043783,-0.946395253054364
ideal_no_cost,2007_year_start,10,1,2007-01-03,2017-01-03,52300.0,115068.91057210792,62768.910572107925,1.2001703742276848,-0.4308927680314464,2.079917620726263,-0.534198516078733
ideal_no_cost,2007_year_start,10,2,2007-01-03,2017-01-03,52300.0,232192.8359786637,179892.8359786637,3.4396335751178526,-0.7117341320010524,4.763862635281744,-0.8222526301927102
ideal_no_cost,2007_year_start,10,3,2007-01-03,2017-01-03,52300.0,406978.4166034409,354678.4166034409,6.781614084195811,-0.8660282958871588,5.500041061346817,-0.946395253054364
ideal_no_cost,2008_year_start,5,1,2008-01-02,2013-01-02,26200.0,38870.89479397298,12670.894793972977,0.4836219387012586,-0.3999093961062977,0.3972070055856458,-0.49442843967787586
ideal_no_cost,2008_year_start,5,2,2008-01-02,2013-01-02,26200.0,53245.71130510092,27045.711305100922,1.0322790574465999,-0.6659019477810595,0.34812717718246566,-0.786414393976787
ideal_no_cost,2008_year_start,5,3,2008-01-02,2013-01-02,26200.0,66740.20179293914,40540.201792939144,1.5473359462953873,-0.8220256006190204,-0.1083305166346088,-0.9281059646872039
ideal_no_cost,2008_year_start,10,1,2008-01-02,2018-01-02,52300.0,140655.980359312,88355.980359312,1.6894068902354111,-0.3999093961062977,2.52773389008842,-0.49442843967787586
ideal_no_cost,2008_year_start,10,2,2008-01-02,2018-01-02,52300.0,374682.65832637576,322382.65832637576,6.164104365705081,-0.6659019477810595,6.746892642989407,-0.786414393976787
ideal_no_cost,2008_year_start,10,3,2008-01-02,2018-01-02,52300.0,894275.2614324855,841975.2614324855,16.09895337347009,-0.8220256006190204,9.504823224195135,-0.9281059646872039
ideal_no_cost,2010_year_start,5,1,2010-01-04,2015-01-02,26100.0,43999.04800098192,17899.048000981922,0.6857872797311082,-0.08178693858307362,1.3716657226304543,-0.15976866787316046
ideal_no_cost,2010_year_start,5,2,2010-01-04,2015-01-02,26100.0,72624.45452398199,46524.454523981985,1.7825461503441375,-0.16760814464013618,3.8241040623087494,-0.3061347771511881
ideal_no_cost,2010_year_start,5,3,2010-01-04,2015-01-02,26100.0,113784.4009096178,87684.4009096178,3.3595555904068126,-0.2553949821451904,7.401314814946263,-0.4374406398175922
ideal_no_cost,2010_year_start,10,1,2010-01-04,2020-01-03,52200.0,139321.81511545673,87121.81511545673,1.6690002895681366,-0.08178693858307362,4.224132447649767,-0.22720516409128555
ideal_no_cost,2010_year_start,10,2,2010-01-04,2020-01-03,52200.0,370127.1312706617,317927.1312706617,6.09055807031919,-0.16760814464013618,19.184043380827674,-0.417147128220161
ideal_no_cost,2010_year_start,10,3,2010-01-04,2020-01-03,52200.0,875760.4440535755,823560.4440535755,15.77702000102635,-0.2553949821451904,56.49015944440804,-0.5713239209407059
ideal_no_cost,2018_year_start,5,1,2018-01-02,2022-12-30,26100.0,30718.879099036272,4618.879099036272,0.17696854785579585,-0.14708747542614153,0.7580009640008503,-0.35036724960824817
ideal_no_cost,2018_year_start,5,2,2018-01-02,2022-12-30,26100.0,30832.60782816425,4732.607828164251,0.181325970427749,-0.28969385918832813,1.1650300989999876,-0.6217572341324751
ideal_no_cost,2018_year_start,5,3,2018-01-02,2022-12-30,26100.0,24769.464469436665,-1330.5355305633348,-0.05097837281851858,-0.422815189407717,0.8459884640993709,-0.8035628222280551
ideal_no_cost,recent_five_years,5,1,2021-09-16,2026-09-16,26200.0,45344.08165581221,19144.08165581221,0.7306901395348171,-0.22738912095569241,0.938350028892109,-0.35036724960824817
ideal_no_cost,recent_five_years,5,2,2021-09-16,2026-09-16,26200.0,73750.18997408586,47550.189974085864,1.814892747102514,-0.4217591732066299,1.8787781451510823,-0.6217572341324751
ideal_no_cost,recent_five_years,5,3,2021-09-16,2026-09-16,26200.0,109128.1212676574,82928.1212676574,3.1651954682311985,-0.5782039179683907,2.2709875552084555,-0.8035628222280551
illustrative_cost,2000_year_start,5,1,2000-01-03,2005-01-03,26200.0,27610.850112608245,1410.8501126082447,0.053849240939245924,-0.5541669983783443,-0.578441210258879,-0.8295973605477929
illustrative_cost,2000_year_start,5,2,2000-01-03,2005-01-03,26200.0,27132.50540254993,932.5054025499303,0.035591809257630835,-0.8211017722970788,-0.9410423015444411,-0.9875226119289969
illustrative_cost,2000_year_start,5,3,2000-01-03,2005-01-03,26200.0,27631.28638947383,1431.2863894738293,0.05462925150663467,-0.9197480538011822,-0.9965826156483568,-0.99954982000411
illustrative_cost,2000_year_start,10,1,2000-01-03,2009-12-31,52200.0,62454.096641998854,10254.096641998854,0.19643863298848374,-0.5541669983783443,-0.5031749774085513,-0.8295973605477929
illustrative_cost,2000_year_start,10,2,2000-01-03,2009-12-31,52200.0,48951.09014326906,-3248.909856730941,-0.06223965242779583,-0.8211017722970788,-0.9520600059914786,-0.9889750526560233
illustrative_cost,2000_year_start,10,3,2000-01-03,2009-12-31,52200.0,34602.93586135047,-17597.064138649534,-0.3371085084032478,-0.9197480538011822,-0.9985782864971158,-0.9998175385701553
illustrative_cost,2000_peak,5,1,2000-03-27,2005-03-24,26100.0,25942.178274978178,-157.8217250218222,-0.0060468093878093265,-0.5319383410083012,-0.6883493865830008,-0.8295973605477929
illustrative_cost,2000_peak,5,2,2000-03-27,2005-03-24,26100.0,23493.081903936858,-2606.918096063142,-0.09988191938939239,-0.7974140932742363,-0.9659058173253593,-0.9875226119289969
illustrative_cost,2000_peak,5,3,2000-03-27,2005-03-24,26100.0,21666.44861832249,-4433.551381677509,-0.16986786902978968,-0.9041140314770525,-0.9983763843768103,-0.99954982000411
illustrative_cost,2000_peak,10,1,2000-03-27,2010-03-26,52200.0,66296.15512120008,14096.155121200078,0.2700412858467447,-0.5319383410083012,-0.5792075638103373,-0.8295973605477929
illustrative_cost,2000_peak,10,2,2000-03-27,2010-03-26,52200.0,54839.42041575498,2639.420415754983,0.05056360949722194,-0.7974140932742363,-0.9634688110694914,-0.9889750526560233
illustrative_cost,2000_peak,10,3,2000-03-27,2010-03-26,52200.0,40644.911901147585,-11555.088098852415,-0.2213618409741842,-0.9041140314770525,-0.9989772109553462,-0.9998175385701553
illustrative_cost,2002_trough,5,1,2002-10-07,2007-10-05,26100.0,38497.77631796305,12397.77631796305,0.475010586895136,-0.050924382124655776,1.6900546704448551,-0.17334356258897643
illustrative_cost,2002_trough,5,2,2002-10-07,2007-10-05,26100.0,47170.21800015794,21070.21800015794,0.8072880459830629,-0.116134523312736,3.8354608649410817,-0.34682548007736747
illustrative_cost,2002_trough,5,3,2002-10-07,2007-10-05,26100.0,54983.3001445632,28883.300144563204,1.106639852282115,-0.18898727280083716,6.379200699436208,-0.4895128788836234
illustrative_cost,2002_trough,10,1,2002-10-07,2012-10-05,52200.0,91588.7122961928,39388.712296192796,0.7545730324941149,-0.3109958036911169,2.624859212882496,-0.5351866489465811
illustrative_cost,2002_trough,10,2,2002-10-07,2012-10-05,52200.0,107011.98448944256,54811.98448944256,1.0500380170391295,-0.6637414611962305,4.503159843344684,-0.8304378255923086
illustrative_cost,2002_trough,10,3,2002-10-07,2012-10-05,52200.0,104421.26041883636,52221.26041883636,1.0004072877171715,-0.8629102414199388,4.004800994945038,-0.950604135677575
illustrative_cost,2007_year_start,5,1,2007-01-03,2012-01-03,26200.0,34177.30643430295,7977.306434302947,0.3044773448207232,-0.43194109332708397,0.35143500050568477,-0.5351866489465811
illustrative_cost,2007_year_start,5,2,2007-01-03,2012-01-03,26200.0,37707.33299751325,11507.332997513251,0.4392111831111929,-0.7219320356783387,0.09951092844642306,-0.8304378255923086
illustrative_cost,2007_year_start,5,3,2007-01-03,2012-01-03,26200.0,38913.48818239464,12713.488182394642,0.4852476405494137,-0.8730409205341174,-0.37075243231314003,-0.950604135677575
illustrative_cost,2007_year_start,10,1,2007-01-03,2017-01-03,52300.0,113684.83101016398,61384.83101016398,1.173706137861644,-0.43194109332708397,2.018897933774934,-0.5351866489465811
illustrative_cost,2007_year_start,10,2,2007-01-03,2017-01-03,52300.0,207908.14850991737,155608.14850991737,2.975299206690581,-0.7219320356783387,3.59135093634813,-0.8304378255923086
illustrative_cost,2007_year_start,10,3,2007-01-03,2017-01-03,52300.0,347249.7458281115,294949.7458281115,5.639574490021252,-0.8730409205341174,3.534303738729572,-0.950604135677575
illustrative_cost,2008_year_start,5,1,2008-01-02,2013-01-02,26200.0,38654.20348660569,12454.203486605693,0.4753512781147211,-0.4004206057805699,0.3832891040660149,-0.49489717328448557
illustrative_cost,2008_year_start,5,2,2008-01-02,2013-01-02,26200.0,50759.39318514616,24559.39318514616,0.9373814192803878,-0.6698715191374229,0.22258006389599427,-0.794149019409512
illustrative_cost,2008_year_start,5,3,2008-01-02,2013-01-02,26200.0,62318.04605980284,36118.04605980284,1.3785513763283523,-0.8249724275483897,-0.23119540433598362,-0.9324839296003977
illustrative_cost,2008_year_start,10,1,2008-01-02,2018-01-02,52300.0,138898.41022454677,86598.41022454677,1.6558013427255598,-0.4004206057805699,2.4578488742934312,-0.49489717328448557
illustrative_cost,2008_year_start,10,2,2008-01-02,2018-01-02,52300.0,331417.19040768663,279117.19040768663,5.336848764965327,-0.6698715191374229,5.422618858519938,-0.794149019409512
illustrative_cost,2008_year_start,10,3,2008-01-02,2018-01-02,52300.0,741747.5016583035,689447.5016583035,13.182552612969475,-0.8249724275483897,6.938144160978496,-0.9324839296003977
illustrative_cost,2010_year_start,5,1,2010-01-04,2015-01-02,26100.0,43748.58572918179,17648.58572918179,0.6761910241065818,-0.08224940279018833,1.348097813295928,-0.15989893103058062
illustrative_cost,2010_year_start,5,2,2010-01-04,2015-01-02,26100.0,69193.02780736772,43093.02780736772,1.6510738623512538,-0.17102401840196435,3.4598672678869926,-0.30697496715311423
illustrative_cost,2010_year_start,5,3,2010-01-04,2015-01-02,26100.0,105989.69866550509,79889.69866550509,3.0609079948469384,-0.25971488633385564,6.529434021074741,-0.438397122222952
illustrative_cost,2010_year_start,10,1,2010-01-04,2020-01-03,52200.0,137571.31746745287,85371.31746745287,1.6354658518669134,-0.08224940279018833,4.120722999026109,-0.2277025696857189
illustrative_cost,2010_year_start,10,2,2010-01-04,2020-01-03,52200.0,315385.26338956034,263185.26338956034,5.04186328332491,-0.17102401840196435,15.42085547246797,-0.42386393695735647
illustrative_cost,2010_year_start,10,3,2010-01-04,2020-01-03,52200.0,672120.1588886887,619920.1588886887,11.875865112810128,-0.25971488633385564,40.84010305324575,-0.5799058704365241
illustrative_cost,2018_year_start,5,1,2018-01-02,2022-12-30,26100.0,30541.323969594978,4441.323969594978,0.1701656693331408,-0.1479293721882169,0.7405292160440928,-0.35147918072758744
illustrative_cost,2018_year_start,5,2,2018-01-02,2022-12-30,26100.0,28538.315488766788,2438.315488766788,0.09342204937803777,-0.3015976400222038,0.8941459977012027,-0.6339385099003153
illustrative_cost,2018_year_start,5,3,2018-01-02,2022-12-30,26100.0,21816.46043744674,-4283.539562553258,-0.16412028975299842,-0.4392394794379024,0.4811232190875674,-0.8140910018696929
illustrative_cost,recent_five_years,5,1,2021-09-16,2026-09-16,26200.0,45084.39386435035,18884.39386435035,0.7207783917690973,-0.22795393108303785,0.9190622490703946,-0.35147918072758744
illustrative_cost,recent_five_years,5,2,2021-09-16,2026-09-16,26200.0,61836.40188098559,35636.40188098559,1.360168010724641,-0.4253715330785661,1.2218999236131278,-0.6339385099003153
illustrative_cost,recent_five_years,5,3,2021-09-16,2026-09-16,26200.0,77977.25562131486,51777.255621314864,1.9762311305845368,-0.5818210114994494,1.043416214324902,-0.8140910018696929
higher_financing,2000_year_start,5,1,2000-01-03,2005-01-03,26200.0,27610.850112608245,1410.8501126082447,0.053849240939245924,-0.5541669983783443,-0.578441210258879,-0.8295973605477929
higher_financing,2000_year_start,5,2,2000-01-03,2005-01-03,26200.0,26635.18224128941,435.18224128941074,0.016610009209519383,-0.821786271461145,-0.943935264115272,-0.9878383534220097
